fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
22;Pozo;6680;1/01/1998;Madrid 6;979421;1015401;MADRID;2571;-72.6;-10.72;1;581733.7152;523464.6621;-74.26300086;4.735448236;475;0.60235;-6.457191467;-39.75224304
23;Pozo;8124;10/31/2017;;979430;1015435;MADRID;2569;-72.6;-10.72;10;581742.6671;523498.663;-74.26291982;4.73575572;466;0.60235;-6.457191467;-39.75224304
24;Pozo;8185;11/19/2010;AUTO CENTRO SANTANA - USAQUEN- (SALITRE);1004669;1010089;BOGOTµ D.C.;2566.375558;-66.9;-9.92;11;606981.3799;518187.5924;-74.03542577;4.687434986;30;0.603827;-5.98996067;-37.21989441
25;Humedal;8190;12/11/2010;Humedal Cordoba;1000935;1011728;BOGOTµ D.C.;2545.09844;-108;-14.93;12;603246.2069;519821.2395;-74.06908049;4.70225782;0.1;0.610276;-9.111418724;-62.26124573
26;Pozo;7240;1/01/2001;;991190;1010320;BOGOTµ D.C.;2546.259527;-43.13;-10.95;1;593505.8034;518400.7932;-74.15691352;4.689520693;115;0.612836;-6.710551262;-44.50134659
27;Pozo;8181;11/18/2010;MOBIL SUBA INVERSIONES VIACAR - SUBA- (SALITRE);999221;1015585;BOGOTµ D.C.;2561.715254;-67.7;-9.66;11;601527.5629;523674.9235;-74.08452962;4.737136995;44.8;0.614343;-5.934548855;-39.49258041
28;Pozo;6690;1/01/1998;Canta Claro;987495;1011210;MOSQUERA;2566;-78.7;-10.91;1;589810.7333;519285.6609;-74.19021826;4.697564444;554;0.615083;-6.710551262;-44.50134659
29;Pozo;8093;10/31/2017;;987495;1011210;MOSQUERA;2566;-76.7;-10.91;10;589810.7333;519285.6609;-74.19021826;4.697564444;554;0.615083;-6.710551262;-44.50134659
30;Pozo;8145;11/04/2010;SOCIEDAD PROMA LTDA - SUBA- (SALITRE);999379;1014458;BOGOTµ D.C.;2633.126961;-69.6;-9.86;11;601687.0164;522548.4411;-74.08310537;4.726945461;200;0.619538;-6.108648777;-41.35246658
31;Pozo;8140;11/03/2010;INDEGA PANAMCO PLANTA NORTE - FONTIBON- (FUCHA);994412;1009171;BOGOTµ D.C.;2546.061082;-68.6;-10.1;11;596728.381;517256.3614;-74.12787251;4.679132885;532;0.622668;-6.288951397;-40.25968933
32;Pozo;7243;1/01/2001;;1013480;1020460;LA CALERA;2595;-33.07;-10.82;1;615776.4119;528567.7238;-73.95599509;4.781211221;135;0.623611;-6.747475624;-42.10700226
